"","participantID","UV.Instruktion","UV.Instruk","Reihenfolge","effort.seriell.1","effort.seriell.2","effort.seriell.3","effort.seriell.4","effort.parallel.1","effort.parallel.2","effort.parallel.3","effort.parallel.4","confidence.seriell.1","confidence.seriell.2","confidence.seriell.3","confidence.seriell.4","confidence.parallel.1","confidence.parallel.2","confidence.parallel.3","confidence.parallel.4"
"1","A01","aktivierend","ACT","SerPar",2,3,3,3,2,2,2,2,70,75,62,63,80,83,82,88
"2","A02","inhibierend","INH","parSer",2,4,4,3,4,3,2,4,66,83,87,75,69,44,58,44
"3","A03","aktivierend","ACT","parSer",2,2,3,2,2,3,3,3,70,76,71,74,55,57,56,57
"4","A04","inhibierend","INH","SerPar",2,2,2,2,3,2,3,2,77,86,73,71,61,58,55,56
"5","V05","aktivierend","ACT","SerPar",2,2,2,2,2,2,2,2,33,38,43,40,75,78,76,76
"6","V06","inhibierend","INH","parSer",2,2,2,2,3,3,3,3,93,92,99,99,86,68,89,70
"7","A07","aktivierend","ACT","parSer",2,2,3,3,4,5,5,5,100,97,92,94,72,83,88,96
"8","A08","inhibierend","INH","SerPar",3,3,2,2,3,4,2,3,58,92,86,89,88,58,97,61
"9","A09","aktivierend","ACT","SerPar",2,1,1,3,3,4,3,2,79,85,91,76,60,59,71,62
"10","A10","inhibierend","INH","parSer",3,2,2,2,4,4,3,4,84,87,88,91,66,61,67,60
"11","A11","aktivierend","ACT","SerPar",4,3,5,4,2,2,3,3,53,56,38,55,62,54,60,58
"12","A12","inhibierend","INH","SerPar",6,6,6,6,6,6,6,6,0,4,4,17,7,34,9,9
"13","A13","aktivierend","ACT","SerPar",4,4,4,4,5,4,4,4,89,88,88,86,66,65,66,62
"14","A14","inhibierend","INH","parSer",3,2,3,2,NA,NA,NA,NA,76,96,88,90,66,37,43,38
"15","A15","aktivierend","ACT","SerPar",3,2,3,3,3,2,3,3,58,54,27,59,73,58,67,70
"16","A16","inhibierend","INH","parSer",2,3,3,3,2,3,4,3,91,90,93,92,78,80,70,81
"17","A17","aktivierend","ACT","SerPar",3,5,2,3,4,5,4,3,38,42,58,71,57,42,58,78
"18","A18","inhibierend","INH","SerPar",2,2,2,1,2,1,3,2,56,77,69,80,40,64,60,70
"19","A19","aktivierend","ACT","SerPar",4,3,3,3,2,3,4,3,56,89,69,57,78,70,71,79
